"","year","species.group","source","species","harvest","landed.value","wholesale.value","catch","spp.n"
"1",2022,"Salmon","Wild commercial","Chinook",1.366,10.63775,20.21200763,1.10529,2
"2",2022,"Salmon","Wild commercial","Chum",0.942,4.289844,12.21932873,0.88758,4
"3",2022,"Salmon","Wild commercial","Coho",0.498,2.912044,20.2631667,1.03091,3
"4",2022,"Salmon","Wild commercial","Pink",1.81,1.529926,15.8804673,6.76056,5
"5",2022,"Salmon","Wild commercial","Sockeye",3.618,20.88389,207.2357623,11.49289,1
"6",2023,"Salmon","Wild commercial","Chinook",1.487,11.027132,21.53264655,1.01228,2
"7",2023,"Salmon","Wild commercial","Chum",0.485,1.247683,7.960072,0.51668,4
"8",2023,"Salmon","Wild commercial","Coho",0.518,2.663207,26.038665,1.17571,3
"9",2023,"Salmon","Wild commercial","Pink",3.563,2.029559,18.17650085,14.48728,5
"10",2023,"Salmon","Wild commercial","Sockeye",1.213,6.418695,155.119708,4.42613,1
"11",2021,"Salmon","Wild commercial","Chinook",1.57,13.82,25.89,1.23016,2
"12",2021,"Salmon","Wild commercial","Chum",0.32,0.92,9.92,0.20562,4
"13",2021,"Salmon","Wild commercial","Coho",0.34,1.69,19.85,0.67511,3
"14",2021,"Salmon","Wild commercial","Pink",1.49,1.05,7.17,2.61263,5
"15",2021,"Salmon","Wild commercial","Sockeye",0.5,2.43,123.02,0.71143,1
"16",2020,"Salmon","Wild commercial","Chinook",1.33,9.92,16.49,0.88414,2
"17",2020,"Salmon","Wild commercial","Chum",1.51,4.48,13.45,2.23389,4
"18",2020,"Salmon","Wild commercial","Coho",0.39,1.89,23.8,0.89583,3
"19",2020,"Salmon","Wild commercial","Pink",4.97,4.86,12.24,19.1681,5
"20",2020,"Salmon","Wild commercial","Sockeye",0.29,1.02,126.6,0.30044,1
"21",2019,"Salmon","Wild commercial","Chinook",1.35,7.88,16.2,1.17593,2
"22",2019,"Salmon","Wild commercial","Chum",1.19,2.84,15.11,1.74825,4
"23",2019,"Salmon","Wild commercial","Coho",0.63,3.96,24.28,1.82208,3
"24",2019,"Salmon","Wild commercial","Pink",1.45,0.78,7.41,1.26822,5
"25",2019,"Salmon","Wild commercial","Sockeye",0.18,0.95,87.35,0.26339,1
"26",2018,"Salmon","Wild commercial","Chinook",1.15,10.88,17.75,1.16051,2
"27",2018,"Salmon","Wild commercial","Chum",4.15,13.41,31.28,7.24184,4
"28",2018,"Salmon","Wild commercial","Coho",0.74,3.83,27.27,1.82124,3
"29",2018,"Salmon","Wild commercial","Pink",0.62,0.58,5.34,2.8966,5
"30",2018,"Salmon","Wild commercial","Sockeye",11.35,63.31,176.27,33.33352,1
"31",2017,"Salmon","Wild commercial","Chinook",1.64,16.58,26.58,1.79413,2
"32",2017,"Salmon","Wild commercial","Chum",7.4,22.61,44.52,12.39532,4
"33",2017,"Salmon","Wild commercial","Coho",1.26,6.45,24.21,3.52614,3
"34",2017,"Salmon","Wild commercial","Pink",3.69,3.45,13.01,16.07749,5
"35",2017,"Salmon","Wild commercial","Sockeye",0.46,2.25,92.07,0.62112,1
"36",2016,"Salmon","Wild commercial","Chinook",1.7,21.5,26.6,2.07932,2
"37",2016,"Salmon","Wild commercial","Chum",15.9,30.2,54.4,32.1658,4
"38",2016,"Salmon","Wild commercial","Coho",1,5.1,28.6,2.58333,3
"39",2016,"Salmon","Wild commercial","Pink",3.5,2.8,13.6,17.57062,5
"40",2016,"Salmon","Wild commercial","Sockeye",2.6,18.3,85.7,6.19214,1
"41",2015,"Salmon","Wild commercial","Chinook",1.5,17,25,1.77568,2
"42",2015,"Salmon","Wild commercial","Chum",11.4,18.9,30.3,22.36114,4
"43",2015,"Salmon","Wild commercial","Coho",0.9,4.3,22.8,2.84029,3
"44",2015,"Salmon","Wild commercial","Pink",2.6,1.6,11.9,13.44232,5
"45",2015,"Salmon","Wild commercial","Sockeye",4.4,20.1,91.4,10.88759,1
"46",2014,"Salmon","Wild commercial","Chinook",2.4,18.7,25,3.10649,2
"47",2014,"Salmon","Wild commercial","Chum",4.5,8.9,23.3,6.73097,4
"48",2014,"Salmon","Wild commercial","Coho",0.9,3.3,23.1,2.52626,3
"49",2014,"Salmon","Wild commercial","Pink",6.7,4.6,24.8,41.34409,5
"50",2014,"Salmon","Wild commercial","Sockeye",28.1,102.4,209.2,90.65913,1
"51",2013,"Salmon","Wild commercial","Chinook",1.1,8.7,12.3,1.19619,2
"52",2013,"Salmon","Wild commercial","Chum",8.6,11.2,28.5,13.58888,4
"53",2013,"Salmon","Wild commercial","Coho",1.8,8.3,27.5,4.54702,3
"54",2013,"Salmon","Wild commercial","Pink",19.5,13.7,39.2,120.15345,5
"55",2013,"Salmon","Wild commercial","Sockeye",0.6,3.3,69.3,1.75837,1
"56",2012,"Salmon","Wild commercial","Chinook",1.2,9.2,19,1.54506,2
"57",2012,"Salmon","Wild commercial","Chum",6.3,8.2,38.1,10.298,4
"58",2012,"Salmon","Wild commercial","Coho",0.9,3.7,23.5,2.18318,3
"59",2012,"Salmon","Wild commercial","Pink",1.2,0.9,13.2,7.78231,5
"60",2012,"Salmon","Wild commercial","Sockeye",3.6,12.4,74.1,8.41675,1
"61",2011,"Salmon","Wild commercial","Chinook",1.5,11,21.4,2.27292,2
"62",2011,"Salmon","Wild commercial","Chum",5.8,10.7,31.8,18.94357,4
"63",2011,"Salmon","Wild commercial","Coho",1.2,4.9,24.5,3.25267,3
"64",2011,"Salmon","Wild commercial","Pink",9.1,8.7,37.6,58.96737,5
"65",2011,"Salmon","Wild commercial","Sockeye",3.1,12.7,105.7,13.16529,1
"66",2010,"Salmon","Wild commercial","Chinook",1.2,9.6,18.5,1.74981,2
"67",2010,"Salmon","Wild commercial","Chum",0.5,0.9,9.7,1.14681,4
"68",2010,"Salmon","Wild commercial","Coho",0.6,2.6,20.5,1.40582,3
"69",2010,"Salmon","Wild commercial","Pink",1.3,0.7,16.8,7.72536,5
"70",2010,"Salmon","Wild commercial","Sockeye",20,56.8,174.4,101.87982,1
"71",2009,"Salmon","Wild commercial","Chinook",0.9,7.1,16.1,1.38064,2
"72",2009,"Salmon","Wild commercial","Chum",2.7,4.3,21.3,7.38865,4
"73",2009,"Salmon","Wild commercial","Coho",0.8,3,23.9,2.39295,3
"74",2009,"Salmon","Wild commercial","Pink",13.4,6.7,41.8,97.81104,5
"75",2009,"Salmon","Wild commercial","Sockeye",0.7,2.6,39.2,1.93941,1
"76",2008,"Salmon","Wild commercial","Chinook",1,9,18.4,1.52176,2
"77",2008,"Salmon","Wild commercial","Chum",1.7,3,18.7,4.45259,4
"78",2008,"Salmon","Wild commercial","Coho",0.4,1.9,21.3,0.81837,3
"79",2008,"Salmon","Wild commercial","Pink",0.4,0.2,13.3,2.24546,5
"80",2008,"Salmon","Wild commercial","Sockeye",1.9,7.7,65.5,7.55626,1
"81",2007,"Salmon","Wild commercial","Chinook",1.4,10.5,23.8,1.93289,2
"82",2007,"Salmon","Wild commercial","Chum",4.9,6.6,30.2,10.51363,4
"83",2007,"Salmon","Wild commercial","Coho",0.8,2.6,19.9,2.75627,3
"84",2007,"Salmon","Wild commercial","Pink",11.2,5.2,43.3,65.88076,5
"85",2007,"Salmon","Wild commercial","Sockeye",1.9,6.7,64.1,6.43512,1
"86",2006,"Salmon","Wild commercial","Chinook",2,14.4,29.2,2.7417,2
"87",2006,"Salmon","Wild commercial","Chum",9.9,10.3,51.1,23.02473,4
"88",2006,"Salmon","Wild commercial","Coho",0.6,2.4,21.6,1.49135,3
"89",2006,"Salmon","Wild commercial","Pink",1.4,0.5,8.5,7.73355,5
"90",2006,"Salmon","Wild commercial","Sockeye",10.4,33.3,114,44.68176,1
"91",2005,"Salmon","Wild commercial","Chinook",2.1,12.6,24.9,3.30606,2
"92",2005,"Salmon","Wild commercial","Chum",10.6,10.1,54.1,24.64901,4
"93",2005,"Salmon","Wild commercial","Coho",1.1,3.5,24,4.15376,3
"94",2005,"Salmon","Wild commercial","Pink",12.6,4.2,46.9,80.87539,5
"95",2005,"Salmon","Wild commercial","Sockeye",0.9,3.8,67.5,3.45373,1
"96",2004,"Salmon","Wild commercial","Chinook",2.4,14.8,26.9,3.76769,2
"97",2004,"Salmon","Wild commercial","Chum",14.3,11.2,46.8,33.09402,4
"98",2004,"Salmon","Wild commercial","Coho",1.2,3.9,19.3,3.52756,3
"99",2004,"Salmon","Wild commercial","Pink",3.6,1.1,22.9,23.44169,5
"100",2004,"Salmon","Wild commercial","Sockeye",4.4,22.2,100.8,18.50744,1
"101",2003,"Salmon","Wild commercial","Chinook",2.2,8.2,17.3,3.26606,2
"102",2003,"Salmon","Wild commercial","Chum",13.7,9.1,45.6,29.69823,4
"103",2003,"Salmon","Wild commercial","Coho",0.8,2.5,14.2,2.45979,3
"104",2003,"Salmon","Wild commercial","Pink",15.5,4.4,33.3,103.68002,5
"105",2003,"Salmon","Wild commercial","Sockeye",6.4,24.6,75.2,25.04836,1
"106",2002,"Salmon","Wild commercial","Chinook",1.7,7.1,11.8,2.61938,2
"107",2002,"Salmon","Wild commercial","Chum",12.4,6,40.4,27.06384,4
"108",2002,"Salmon","Wild commercial","Coho",0.5,1.1,8.1,1.27144,3
"109",2002,"Salmon","Wild commercial","Pink",8.6,2.8,32.1,53.26607,5
"110",2002,"Salmon","Wild commercial","Sockeye",10.1,40.3,103.5,37.53133,1
"111",2001,"Salmon","Wild commercial","Chinook",0.7,3.1,5.1,1.02048,2
"112",2001,"Salmon","Wild commercial","Chum",5.8,5.7,26.6,11.2847,4
"113",2001,"Salmon","Wild commercial","Coho",0.1,0.1,5,0.1159,3
"114",2001,"Salmon","Wild commercial","Pink",10.9,4.3,43.3,66.34686,5
"115",2001,"Salmon","Wild commercial","Sockeye",7.2,23.9,77.7,25.25871,1
"116",2000,"Salmon","Wild commercial","Chinook",0.5,2.8,5.3,0.72581,2
"117",2000,"Salmon","Wild commercial","Chum",2.8,3.4,34.5,5.21938,4
"118",2000,"Salmon","Wild commercial","Coho",0.1,0.1,8.9,0.09887,3
"119",2000,"Salmon","Wild commercial","Pink",7.1,4.7,36.5,44.77685,5
"120",2000,"Salmon","Wild commercial","Sockeye",8.5,39.5,113.1,33.09992,1
"121",1999,"Salmon","Wild commercial","Chinook",0.8,4.1,6.6,1.16815,2
"122",1999,"Salmon","Wild commercial","Chum",5,4.1,41.2,9.23007,4
"123",1999,"Salmon","Wild commercial","Coho",0.1,0.1,5.8,0.04359,3
"124",1999,"Salmon","Wild commercial","Pink",9.5,5.7,53.2,60.42754,5
"125",1999,"Salmon","Wild commercial","Sockeye",1.7,12.4,63.1,5.50672,1
"126",1998,"Salmon","Wild commercial","Chinook",1.4,5.5,9.2,1.50154,2
"127",1998,"Salmon","Wild commercial","Chum",19.9,12.8,57.2,47.42849,4
"128",1998,"Salmon","Wild commercial","Coho",0.1,0.1,6.5,0.01061,3
"129",1998,"Salmon","Wild commercial","Pink",3.9,2.8,58.7,24.14438,5
"130",1998,"Salmon","Wild commercial","Sockeye",5.1,32.9,76,16.37683,1
"131",1997,"Salmon","Wild commercial","Chinook",1.7,5.8,7.7,1.98311,2
"132",1997,"Salmon","Wild commercial","Chum",8.7,6.5,36.1,18.6061,4
"133",1997,"Salmon","Wild commercial","Coho",0.8,1.8,7.2,2.22142,3
"134",1997,"Salmon","Wild commercial","Pink",12.2,6.6,45,65.03967,5
"135",1997,"Salmon","Wild commercial","Sockeye",25.3,89,209.6,106.65632,1
